Weekday,Delay_Count,Avg_Delay_Min,Unique_Routes
Monday,8100,22.53,214
Tuesday,9308,21.2,214
Wednesday,8973,21.82,213
Thursday,9104,21.19,218
Friday,9593,20.63,213
Saturday,8319,19.8,202
Sunday,6246,21.53,199
