Hour,Delay_Count,Avg_Delay_Min,Unique_Routes
0,1216,19.1,142
1,957,19.46,149
2,942,25.26,129
3,637,22.35,98
4,907,17.47,130
5,2131,19.38,177
6,2658,24.98,181
7,2667,40.31,176
8,2636,24.93,177
9,2647,22.92,177
10,2650,20.66,172
11,2566,21.15,172
12,2680,19.24,166
13,3109,18.01,171
14,3968,19.22,172
15,4271,19.04,177
16,4315,15.85,179
17,4149,19.68,182
18,3556,19.26,171
19,2763,21.96,168
20,2622,20.11,171
21,2241,20.52,161
22,1836,22.86,160
23,1519,22.5,159
