trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
79145020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
84146070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000330,shp-100-02,1
78306070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1008870,shp-100-02,1
89948010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1007910,shp-100-02,1
78499070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000990,shp-100-02,1
85651020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10012122,shp-100-02,1
76659020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000770,shp-100-02,1
90992020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10010100,shp-100-02,1
76888070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000110,shp-100-02,1
89131070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000110,shp-100-02,1
77083020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10010100,shp-100-02,1
87811070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000660,shp-100-02,1
77232020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000990,shp-100-02,1
88748070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1008870,shp-100-02,1
77903010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
83738070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
92213070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
83991020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000990,shp-100-02,1
92228020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10015152,shp-100-02,1
84196010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
92392070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1008870,shp-100-02,1
82513010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000770,shp-100-02,1
92447010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000220,shp-100-02,1
83131020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10014141,shp-100-02,1
9249010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
83223010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
93154010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000770,shp-100-02,1
80315020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
9367010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
81621070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000990,shp-100-02,1
94091010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1007910,shp-100-02,1
74499010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000220,shp-100-02,1
94677010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
74650020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
94733070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000110,shp-100-02,1
75166010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
94805070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000660,shp-100-02,1
75167070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
95149070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000990,shp-100-02,1
75283020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
67684010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1007910,shp-100-02,1
75739010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
